Route,Bus,From,To,Traffic_Level,Travel_Time_Minutes,Start_Time,Arrival_Time
Route_1,Bus_4,Stop_8,Stop_9,low,5.0,09:31,09:36
Route_1,Bus_4,Stop_9,Stop_10,low,5.0,09:36,09:41
Route_1,Bus_5,Stop_1,Stop_2,high,7.5,09:00,09:07
Route_1,Bus_5,Stop_2,Stop_3,high,7.5,09:07,09:15
Route_1,Bus_5,Stop_3,Stop_4,high,7.5,09:15,09:22
Route_1,Bus_5,Stop_4,Stop_5,medium,6.0,09:22,09:28
Route_1,Bus_5,Stop_5,Stop_6,low,5.0,09:28,09:33
Route_1,Bus_5,Stop_6,Stop_7,low,5.0,09:33,09:38
Route_1,Bus_5,Stop_7,Stop_8,high,7.5,09:38,09:46
Route_1,Bus_5,Stop_8,Stop_9,low,5.0,09:46,09:51
Route_1,Bus_5,Stop_9,Stop_10,low,5.0,09:51,09:56
Route_1,Bus_6,Stop_1,Stop_2,high,7.5,09:15,09:22
Route_1,Bus_6,Stop_2,Stop_3,high,7.5,09:22,09:30
Route_1,Bus_6,Stop_3,Stop_4,high,7.5,09:30,09:37
Route_1,Bus_6,Stop_4,Stop_5,medium,6.0,09:37,09:43
Route_1,Bus_6,Stop_5,Stop_6,low,5.0,09:43,09:48
Route_1,Bus_6,Stop_6,Stop_7,low,5.0,09:48,09:53
Route_1,Bus_6,Stop_7,Stop_8,high,7.5,09:53,10:01
Route_1,Bus_6,Stop_8,Stop_9,low,5.0,10:01,10:06
Route_1,Bus_6,Stop_9,Stop_10,low,5.0,10:06,10:11
Route_1,Bus_7,Stop_1,Stop_2,high,7.5,09:30,09:37
Route_1,Bus_7,Stop_2,Stop_3,high,7.5,09:37,09:45
Route_1,Bus_7,Stop_3,Stop_4,high,7.5,09:45,09:52
Route_1,Bus_7,Stop_4,Stop_5,medium,6.0,09:52,09:58
Route_1,Bus_7,Stop_5,Stop_6,low,5.0,09:58,10:03
Route_1,Bus_7,Stop_6,Stop_7,low,5.0,10:03,10:08
Route_1,Bus_7,Stop_7,Stop_8,high,7.5,10:08,10:16
Route_1,Bus_7,Stop_8,Stop_9,low,5.0,10:16,10:21
Route_1,Bus_7,Stop_9,Stop_10,low,5.0,10:21,10:26
Route_2,Bus_2,Stop_1,Stop_2,low,5.0,09:45,09:50
Route_2,Bus_2,Stop_2,Stop_3,high,7.5,09:50,09:57
Route_2,Bus_2,Stop_3,Stop_4,high,7.5,09:57,10:05
Route_2,Bus_2,Stop_4,Stop_5,low,5.0,10:05,10:10
Route_2,Bus_2,Stop_5,Stop_6,medium,6.0,10:10,10:16
Route_2,Bus_2,Stop_6,Stop_7,high,7.5,10:16,10:23
Route_2,Bus_2,Stop_7,Stop_8,high,7.5,10:23,10:31
Route_2,Bus_2,Stop_8,Stop_9,high,7.5,10:31,10:38
Route_2,Bus_2,Stop_9,Stop_10,medium,6.0,10:38,10:44
Route_2,Bus_3,Stop_1,Stop_2,low,5.0,10:00,10:05
Route_2,Bus_3,Stop_2,Stop_3,high,7.5,10:05,10:12
Route_2,Bus_3,Stop_3,Stop_4,high,7.5,10:12,10:20
Route_2,Bus_3,Stop_4,Stop_5,low,5.0,10:20,10:25
Route_2,Bus_3,Stop_5,Stop_6,medium,6.0,10:25,10:31
Route_2,Bus_3,Stop_6,Stop_7,high,7.5,10:31,10:38
Route_2,Bus_3,Stop_7,Stop_8,high,7.5,10:38,10:46
Route_2,Bus_3,Stop_8,Stop_9,high,7.5,10:46,10:53
Route_2,Bus_3,Stop_9,Stop_10,medium,6.0,10:53,10:59
Route_2,Bus_4,Stop_1,Stop_2,low,5.0,10:15,10:20
Route_2,Bus_4,Stop_2,Stop_3,high,7.5,10:20,10:27
Route_2,Bus_4,Stop_3,Stop_4,high,7.5,10:27,10:35
Route_2,Bus_4,Stop_4,Stop_5,low,5.0,10:35,10:40
Route_2,Bus_4,Stop_5,Stop_6,medium,6.0,10:40,10:46
Route_2,Bus_4,Stop_6,Stop_7,high,7.5,10:46,10:53
Route_2,Bus_4,Stop_7,Stop_8,high,7.5,10:53,11:01
Route_2,Bus_4,Stop_8,Stop_9,high,7.5,11:01,11:08
Route_2,Bus_4,Stop_9,Stop_10,medium,6.0,11:08,11:14
Route_2,Bus_5,Stop_1,Stop_2,low,5.0,10:30,10:35
Route_2,Bus_5,Stop_2,Stop_3,high,7.5,10:35,10:42
Route_2,Bus_5,Stop_3,Stop_4,high,7.5,10:42,10:50
Route_2,Bus_5,Stop_4,Stop_5,low,5.0,10:50,10:55
Route_2,Bus_5,Stop_5,Stop_6,medium,6.0,10:55,11:01
Route_2,Bus_5,Stop_6,Stop_7,high,7.5,11:01,11:08
Route_2,Bus_5,Stop_7,Stop_8,high,7.5,11:08,11:16
Route_2,Bus_5,Stop_8,Stop_9,high,7.5,11:16,11:23
Route_2,Bus_5,Stop_9,Stop_10,medium,6.0,11:23,11:29
Route_2,Bus_6,Stop_1,Stop_2,low,5.0,10:45,10:50
Route_2,Bus_6,Stop_2,Stop_3,high,7.5,10:50,10:57
Route_2,Bus_6,Stop_3,Stop_4,high,7.5,10:57,11:05
Route_2,Bus_6,Stop_4,Stop_5,low,5.0,11:05,11:10
Route_2,Bus_6,Stop_5,Stop_6,medium,6.0,11:10,11:16
Route_2,Bus_6,Stop_6,Stop_7,high,7.5,11:16,11:23
Route_2,Bus_6,Stop_7,Stop_8,high,7.5,11:23,11:31
Route_2,Bus_6,Stop_8,Stop_9,high,7.5,11:31,11:38
Route_2,Bus_6,Stop_9,Stop_10,medium,6.0,11:38,11:44
Route_2,Bus_7,Stop_1,Stop_2,low,5.0,11:00,11:05
Route_2,Bus_7,Stop_2,Stop_3,high,7.5,11:05,11:12
Route_2,Bus_7,Stop_3,Stop_4,high,7.5,11:12,11:20
Route_2,Bus_7,Stop_4,Stop_5,low,5.0,11:20,11:25
Route_2,Bus_7,Stop_5,Stop_6,medium,6.0,11:25,11:31
Route_2,Bus_7,Stop_6,Stop_7,high,7.5,11:31,11:38
Route_2,Bus_7,Stop_7,Stop_8,high,7.5,11:38,11:46
Route_2,Bus_7,Stop_8,Stop_9,high,7.5,11:46,11:53
Route_2,Bus_7,Stop_9,Stop_10,medium,6.0,11:53,11:59
Route_2,Bus_8,Stop_1,Stop_2,low,5.0,11:15,11:20
Route_2,Bus_8,Stop_2,Stop_3,high,7.5,11:20,11:27
Route_2,Bus_8,Stop_3,Stop_4,high,7.5,11:27,11:35
Route_2,Bus_8,Stop_4,Stop_5,low,5.0,11:35,11:40
Route_2,Bus_8,Stop_5,Stop_6,medium,6.0,11:40,11:46
Route_2,Bus_8,Stop_6,Stop_7,high,7.5,11:46,11:53
Route_2,Bus_8,Stop_7,Stop_8,high,7.5,11:53,12:01
Route_2,Bus_8,Stop_8,Stop_9,high,7.5,12:01,12:08
Route_2,Bus_8,Stop_9,Stop_10,medium,6.0,12:08,12:14
Route_3,Bus_3,Stop_1,Stop_2,medium,6.0,11:30,11:36
Route_3,Bus_3,Stop_2,Stop_3,low,5.0,11:36,11:41
Route_3,Bus_3,Stop_3,Stop_4,high,7.5,11:41,11:48
Route_3,Bus_3,Stop_4,Stop_5,medium,6.0,11:48,11:54
Route_3,Bus_3,Stop_5,Stop_6,low,5.0,11:54,11:59
Route_3,Bus_3,Stop_6,Stop_7,medium,6.0,11:59,12:05
Route_3,Bus_3,Stop_7,Stop_8,high,7.5,12:05,12:13
Route_3,Bus_3,Stop_8,Stop_9,low,5.0,12:13,12:18
Route_3,Bus_3,Stop_9,Stop_10,medium,6.0,12:18,12:24
Route_3,Bus_4,Stop_1,Stop_2,medium,6.0,11:45,11:51
Route_3,Bus_4,Stop_2,Stop_3,low,5.0,11:51,11:56
Route_3,Bus_4,Stop_3,Stop_4,high,7.5,11:56,12:03
Route_3,Bus_4,Stop_4,Stop_5,medium,6.0,12:03,12:09
Route_3,Bus_4,Stop_5,Stop_6,low,5.0,12:09,12:14
Route_3,Bus_4,Stop_6,Stop_7,medium,6.0,12:14,12:20
Route_3,Bus_4,Stop_7,Stop_8,high,7.5,12:20,12:28
Route_3,Bus_4,Stop_8,Stop_9,low,5.0,12:28,12:33
Route_3,Bus_4,Stop_9,Stop_10,medium,6.0,12:33,12:39
Route_3,Bus_5,Stop_1,Stop_2,medium,6.0,12:00,12:06
Route_3,Bus_5,Stop_2,Stop_3,low,5.0,12:06,12:11
Route_3,Bus_5,Stop_3,Stop_4,high,7.5,12:11,12:18
Route_3,Bus_5,Stop_4,Stop_5,medium,6.0,12:18,12:24
Route_3,Bus_5,Stop_5,Stop_6,low,5.0,12:24,12:29
Route_3,Bus_5,Stop_6,Stop_7,medium,6.0,12:29,12:35
Route_3,Bus_5,Stop_7,Stop_8,high,7.5,12:35,12:43
Route_3,Bus_5,Stop_8,Stop_9,low,5.0,12:43,12:48
Route_3,Bus_5,Stop_9,Stop_10,medium,6.0,12:48,12:54
Route_3,Bus_6,Stop_1,Stop_2,medium,6.0,12:15,12:21
Route_3,Bus_6,Stop_2,Stop_3,low,5.0,12:21,12:26
Route_3,Bus_6,Stop_3,Stop_4,high,7.5,12:26,12:33
Route_3,Bus_6,Stop_4,Stop_5,medium,6.0,12:33,12:39
Route_3,Bus_6,Stop_5,Stop_6,low,5.0,12:39,12:44
Route_3,Bus_6,Stop_6,Stop_7,medium,6.0,12:44,12:50
Route_3,Bus_6,Stop_7,Stop_8,high,7.5,12:50,12:58
Route_3,Bus_6,Stop_8,Stop_9,low,5.0,12:58,13:03
Route_3,Bus_6,Stop_9,Stop_10,medium,6.0,13:03,13:09
Route_3,Bus_7,Stop_1,Stop_2,medium,6.0,12:30,12:36
Route_3,Bus_7,Stop_2,Stop_3,low,5.0,12:36,12:41
Route_3,Bus_7,Stop_3,Stop_4,high,7.5,12:41,12:48
Route_3,Bus_7,Stop_4,Stop_5,medium,6.0,12:48,12:54
Route_3,Bus_7,Stop_5,Stop_6,low,5.0,12:54,12:59
Route_3,Bus_7,Stop_6,Stop_7,medium,6.0,12:59,13:05
Route_3,Bus_7,Stop_7,Stop_8,high,7.5,13:05,13:13
Route_3,Bus_7,Stop_8,Stop_9,low,5.0,13:13,13:18
Route_3,Bus_7,Stop_9,Stop_10,medium,6.0,13:18,13:24
Route_3,Bus_8,Stop_1,Stop_2,medium,6.0,12:45,12:51
Route_3,Bus_8,Stop_2,Stop_3,low,5.0,12:51,12:56
Route_3,Bus_8,Stop_3,Stop_4,high,7.5,12:56,13:03
Route_3,Bus_8,Stop_4,Stop_5,medium,6.0,13:03,13:09
Route_3,Bus_8,Stop_5,Stop_6,low,5.0,13:09,13:14
Route_3,Bus_8,Stop_6,Stop_7,medium,6.0,13:14,13:20
Route_3,Bus_8,Stop_7,Stop_8,high,7.5,13:20,13:28
Route_3,Bus_8,Stop_8,Stop_9,low,5.0,13:28,13:33
Route_3,Bus_8,Stop_9,Stop_10,medium,6.0,13:33,13:39
Route_3,Bus_9,Stop_1,Stop_2,medium,6.0,13:00,13:06
Route_3,Bus_9,Stop_2,Stop_3,low,5.0,13:06,13:11
Route_3,Bus_9,Stop_3,Stop_4,high,7.5,13:11,13:18
Route_3,Bus_9,Stop_4,Stop_5,medium,6.0,13:18,13:24
Route_3,Bus_9,Stop_5,Stop_6,low,5.0,13:24,13:29
Route_3,Bus_9,Stop_6,Stop_7,medium,6.0,13:29,13:35
Route_3,Bus_9,Stop_7,Stop_8,high,7.5,13:35,13:43
Route_3,Bus_9,Stop_8,Stop_9,low,5.0,13:43,13:48
Route_3,Bus_9,Stop_9,Stop_10,medium,6.0,13:48,13:54
Route_4,Bus_4,Stop_1,Stop_2,low,5.0,13:15,13:20
Route_4,Bus_4,Stop_2,Stop_3,medium,6.0,13:20,13:26
Route_4,Bus_4,Stop_3,Stop_4,medium,6.0,13:26,13:32
Route_4,Bus_4,Stop_4,Stop_5,low,5.0,13:32,13:37
Route_4,Bus_4,Stop_5,Stop_6,medium,6.0,13:37,13:43
Route_4,Bus_4,Stop_6,Stop_7,low,5.0,13:43,13:48
Route_4,Bus_4,Stop_7,Stop_8,medium,6.0,13:48,13:54
Route_4,Bus_4,Stop_8,Stop_9,low,5.0,13:54,13:59
Route_4,Bus_4,Stop_9,Stop_10,medium,6.0,13:59,14:05
Route_4,Bus_5,Stop_1,Stop_2,low,5.0,13:30,13:35
Route_4,Bus_5,Stop_2,Stop_3,medium,6.0,13:35,13:41
Route_4,Bus_5,Stop_3,Stop_4,medium,6.0,13:41,13:47
Route_4,Bus_5,Stop_4,Stop_5,low,5.0,13:47,13:52
Route_4,Bus_5,Stop_5,Stop_6,medium,6.0,13:52,13:58
Route_4,Bus_5,Stop_6,Stop_7,low,5.0,13:58,14:03
Route_4,Bus_5,Stop_7,Stop_8,medium,6.0,14:03,14:09
Route_4,Bus_5,Stop_8,Stop_9,low,5.0,14:09,14:14
Route_4,Bus_5,Stop_9,Stop_10,medium,6.0,14:14,14:20
Route_4,Bus_6,Stop_1,Stop_2,low,5.0,13:45,13:50
Route_4,Bus_6,Stop_2,Stop_3,medium,6.0,13:50,13:56
Route_4,Bus_6,Stop_3,Stop_4,medium,6.0,13:56,14:02
Route_4,Bus_6,Stop_4,Stop_5,low,5.0,14:02,14:07
Route_4,Bus_6,Stop_5,Stop_6,medium,6.0,14:07,14:13
Route_4,Bus_6,Stop_6,Stop_7,low,5.0,14:13,14:18
Route_4,Bus_6,Stop_7,Stop_8,medium,6.0,14:18,14:24
Route_4,Bus_6,Stop_8,Stop_9,low,5.0,14:24,14:29
Route_4,Bus_6,Stop_9,Stop_10,medium,6.0,14:29,14:35
Route_4,Bus_7,Stop_1,Stop_2,low,5.0,14:00,14:05
Route_4,Bus_7,Stop_2,Stop_3,medium,6.0,14:05,14:11
Route_4,Bus_7,Stop_3,Stop_4,medium,6.0,14:11,14:17
Route_4,Bus_7,Stop_4,Stop_5,low,5.0,14:17,14:22
Route_4,Bus_7,Stop_5,Stop_6,medium,6.0,14:22,14:28
Route_4,Bus_7,Stop_6,Stop_7,low,5.0,14:28,14:33
Route_4,Bus_7,Stop_7,Stop_8,medium,6.0,14:33,14:39
Route_4,Bus_7,Stop_8,Stop_9,low,5.0,14:39,14:44
Route_4,Bus_7,Stop_9,Stop_10,medium,6.0,14:44,14:50
Route_4,Bus_8,Stop_1,Stop_2,low,5.0,14:15,14:20
Route_4,Bus_8,Stop_2,Stop_3,medium,6.0,14:20,14:26
Route_4,Bus_8,Stop_3,Stop_4,medium,6.0,14:26,14:32
Route_4,Bus_8,Stop_4,Stop_5,low,5.0,14:32,14:37
Route_4,Bus_8,Stop_5,Stop_6,medium,6.0,14:37,14:43
Route_4,Bus_8,Stop_6,Stop_7,low,5.0,14:43,14:48
Route_4,Bus_8,Stop_7,Stop_8,medium,6.0,14:48,14:54
Route_4,Bus_8,Stop_8,Stop_9,low,5.0,14:54,14:59
Route_4,Bus_8,Stop_9,Stop_10,medium,6.0,14:59,15:05
Route_4,Bus_9,Stop_1,Stop_2,low,5.0,14:30,14:35
Route_4,Bus_9,Stop_2,Stop_3,medium,6.0,14:35,14:41
Route_4,Bus_9,Stop_3,Stop_4,medium,6.0,14:41,14:47
Route_4,Bus_9,Stop_4,Stop_5,low,5.0,14:47,14:52
Route_4,Bus_9,Stop_5,Stop_6,medium,6.0,14:52,14:58
Route_4,Bus_9,Stop_6,Stop_7,low,5.0,14:58,15:03
Route_4,Bus_9,Stop_7,Stop_8,medium,6.0,15:03,15:09
Route_4,Bus_9,Stop_8,Stop_9,low,5.0,15:09,15:14
Route_4,Bus_9,Stop_9,Stop_10,medium,6.0,15:14,15:20
Route_4,Bus_10,Stop_1,Stop_2,low,5.0,14:45,14:50
Route_4,Bus_10,Stop_2,Stop_3,medium,6.0,14:50,14:56
Route_4,Bus_10,Stop_3,Stop_4,medium,6.0,14:56,15:02
Route_4,Bus_10,Stop_4,Stop_5,low,5.0,15:02,15:07
Route_4,Bus_10,Stop_5,Stop_6,medium,6.0,15:07,15:13
Route_4,Bus_10,Stop_6,Stop_7,low,5.0,15:13,15:18
Route_4,Bus_10,Stop_7,Stop_8,medium,6.0,15:18,15:24
Route_4,Bus_10,Stop_8,Stop_9,low,5.0,15:24,15:29
Route_4,Bus_10,Stop_9,Stop_10,medium,6.0,15:29,15:35
Route_5,Bus_5,Stop_1,Stop_2,high,7.5,15:00,15:07
Route_5,Bus_5,Stop_2,Stop_3,high,7.5,15:07,15:15
Route_5,Bus_5,Stop_3,Stop_4,high,7.5,15:15,15:22
Route_5,Bus_5,Stop_4,Stop_5,medium,6.0,15:22,15:28
Route_5,Bus_5,Stop_5,Stop_6,medium,6.0,15:28,15:34
Route_5,Bus_5,Stop_6,Stop_7,medium,6.0,15:34,15:40
Route_5,Bus_5,Stop_7,Stop_8,low,5.0,15:40,15:45
Route_5,Bus_5,Stop_8,Stop_9,medium,6.0,15:45,15:51
Route_5,Bus_5,Stop_9,Stop_10,low,5.0,15:51,15:56
Route_5,Bus_6,Stop_1,Stop_2,high,7.5,15:15,15:22
Route_5,Bus_6,Stop_2,Stop_3,high,7.5,15:22,15:30
Route_5,Bus_6,Stop_3,Stop_4,high,7.5,15:30,15:37
Route_5,Bus_6,Stop_4,Stop_5,medium,6.0,15:37,15:43
Route_5,Bus_6,Stop_5,Stop_6,medium,6.0,15:43,15:49
Route_5,Bus_6,Stop_6,Stop_7,medium,6.0,15:49,15:55
Route_5,Bus_6,Stop_7,Stop_8,low,5.0,15:55,16:00
Route_5,Bus_6,Stop_8,Stop_9,medium,6.0,16:00,16:06
Route_5,Bus_6,Stop_9,Stop_10,low,5.0,16:06,16:11
Route_5,Bus_7,Stop_1,Stop_2,high,7.5,15:30,15:37
Route_5,Bus_7,Stop_2,Stop_3,high,7.5,15:37,15:45
Route_5,Bus_7,Stop_3,Stop_4,high,7.5,15:45,15:52
Route_5,Bus_7,Stop_4,Stop_5,medium,6.0,15:52,15:58
Route_5,Bus_7,Stop_5,Stop_6,medium,6.0,15:58,16:04
Route_5,Bus_7,Stop_6,Stop_7,medium,6.0,16:04,16:10
Route_5,Bus_7,Stop_7,Stop_8,low,5.0,16:10,16:15
Route_5,Bus_7,Stop_8,Stop_9,medium,6.0,16:15,16:21
Route_5,Bus_7,Stop_9,Stop_10,low,5.0,16:21,16:26
Route_5,Bus_8,Stop_1,Stop_2,high,7.5,15:45,15:52
Route_5,Bus_8,Stop_2,Stop_3,high,7.5,15:52,16:00
Route_5,Bus_8,Stop_3,Stop_4,high,7.5,16:00,16:07
Route_5,Bus_8,Stop_4,Stop_5,medium,6.0,16:07,16:13
Route_5,Bus_8,Stop_5,Stop_6,medium,6.0,16:13,16:19
Route_5,Bus_8,Stop_6,Stop_7,medium,6.0,16:19,16:25
Route_5,Bus_8,Stop_7,Stop_8,low,5.0,16:25,16:30
Route_5,Bus_8,Stop_8,Stop_9,medium,6.0,16:30,16:36
Route_5,Bus_8,Stop_9,Stop_10,low,5.0,16:36,16:41
Route_5,Bus_9,Stop_1,Stop_2,high,7.5,16:00,16:07
Route_5,Bus_9,Stop_2,Stop_3,high,7.5,16:07,16:15
Route_5,Bus_9,Stop_3,Stop_4,high,7.5,16:15,16:22
Route_5,Bus_9,Stop_4,Stop_5,medium,6.0,16:22,16:28
Route_5,Bus_9,Stop_5,Stop_6,medium,6.0,16:28,16:34
Route_5,Bus_9,Stop_6,Stop_7,medium,6.0,16:34,16:40
Route_5,Bus_9,Stop_7,Stop_8,low,5.0,16:40,16:45
Route_5,Bus_9,Stop_8,Stop_9,medium,6.0,16:45,16:51
Route_5,Bus_9,Stop_9,Stop_10,low,5.0,16:51,16:56
Route_5,Bus_10,Stop_1,Stop_2,high,7.5,16:15,16:22
Route_5,Bus_10,Stop_2,Stop_3,high,7.5,16:22,16:30
Route_5,Bus_10,Stop_3,Stop_4,high,7.5,16:30,16:37
Route_5,Bus_10,Stop_4,Stop_5,medium,6.0,16:37,16:43
Route_5,Bus_10,Stop_5,Stop_6,medium,6.0,16:43,16:49
Route_5,Bus_10,Stop_6,Stop_7,medium,6.0,16:49,16:55
Route_5,Bus_10,Stop_7,Stop_8,low,5.0,16:55,17:00
Route_5,Bus_10,Stop_8,Stop_9,medium,6.0,17:00,17:06
Route_5,Bus_10,Stop_9,Stop_10,low,5.0,17:06,17:11
Route_5,Bus_11,Stop_1,Stop_2,high,7.5,16:30,16:37
Route_5,Bus_11,Stop_2,Stop_3,high,7.5,16:37,16:45
Route_5,Bus_11,Stop_3,Stop_4,high,7.5,16:45,16:52
Route_5,Bus_11,Stop_4,Stop_5,medium,6.0,16:52,16:58
Route_5,Bus_11,Stop_5,Stop_6,medium,6.0,16:58,17:04
Route_5,Bus_11,Stop_6,Stop_7,medium,6.0,17:04,17:10
Route_5,Bus_11,Stop_7,Stop_8,low,5.0,17:10,17:15
Route_5,Bus_11,Stop_8,Stop_9,medium,6.0,17:15,17:21
Route_5,Bus_11,Stop_9,Stop_10,low,5.0,17:21,17:26
